instance,vehicles,total_distance,capacity,horizon,feasible,tag
C101,12.0,1495.5259046731253,200,1227.2427887715323,True,g1_q1p645_hybrid
C102,11.0,1401.8650539934688,200,1227.2427887715323,True,g1_q1p645_hybrid
C103,10.0,1235.548667733971,200,1227.2427887715323,True,g1_q1p645_hybrid
C104,10.0,1193.0121402008165,200,1227.2427887715323,True,g1_q1p645_hybrid
C105,10.0,1129.1724933072326,200,1227.2427887715323,True,g1_q1p645_hybrid
C106,11.0,1231.544065882434,200,1227.2427887715323,True,g1_q1p645_hybrid
C107,10.0,1129.172493307233,200,1227.2427887715323,True,g1_q1p645_hybrid
C108,10.0,1129.7602582998975,200,1227.2427887715323,True,g1_q1p645_hybrid
C109,10.0,1172.9821352169026,200,1227.2427887715323,True,g1_q1p645_hybrid
C201,10.0,1292.2308491084443,200,3381.1276684434133,True,g1_q1p645_hybrid
C202,10.0,1310.0388033555175,200,3381.1276684434133,True,g1_q1p645_hybrid
C203,10.0,1282.6728435922807,200,3381.1276684434133,True,g1_q1p645_hybrid
C204,10.0,1287.270356830051,200,3381.1276684434133,True,g1_q1p645_hybrid
C205,10.0,1289.1690727860516,200,3381.1276684434133,True,g1_q1p645_hybrid
C206,10.0,1280.7257409738413,200,3381.1276684434133,True,g1_q1p645_hybrid
C207,10.0,1277.5032236140785,200,3381.1276684434133,True,g1_q1p645_hybrid
C208,10.0,1274.6608828966869,200,3381.1276684434133,True,g1_q1p645_hybrid
R101,,,200,222.4832319445123,False,g1_q1p645_hybrid
R102,,,200,222.4832319445123,False,g1_q1p645_hybrid
R103,,,200,222.4832319445123,False,g1_q1p645_hybrid
R104,,,200,222.4832319445123,False,g1_q1p645_hybrid
R105,,,200,222.4832319445123,False,g1_q1p645_hybrid
R106,,,200,222.4832319445123,False,g1_q1p645_hybrid
R107,14.0,1668.27130769102,200,222.4832319445123,True,g1_q1p645_hybrid
R108,12.0,1460.7917808630518,200,222.4832319445123,True,g1_q1p645_hybrid
R109,15.0,1793.8986486221047,200,222.4832319445123,True,g1_q1p645_hybrid
R110,14.0,1685.510023663004,200,222.4832319445123,True,g1_q1p645_hybrid
R111,14.0,1679.263391583401,200,222.4832319445123,True,g1_q1p645_hybrid
R112,13.0,1447.0645693635101,200,222.4832319445123,True,g1_q1p645_hybrid
R201,8.0,1648.300179918715,200,992.4832319445123,True,g1_q1p645_hybrid
R202,8.0,1492.93432525604,200,992.4832319445123,True,g1_q1p645_hybrid
R203,8.0,1373.1946426343154,200,992.4832319445123,True,g1_q1p645_hybrid
R204,8.0,1165.5654038496891,200,992.4832319445123,True,g1_q1p645_hybrid
R205,8.0,1472.600238723701,200,992.4832319445123,True,g1_q1p645_hybrid
R206,8.0,1278.845005110622,200,992.4832319445123,True,g1_q1p645_hybrid
R207,8.0,1241.3882206914748,200,992.4832319445123,True,g1_q1p645_hybrid
R208,8.0,1143.9837714777411,200,992.4832319445123,True,g1_q1p645_hybrid
R209,8.0,1279.0054047154283,200,992.4832319445123,True,g1_q1p645_hybrid
R210,8.0,1307.5728411300947,200,992.4832319445123,True,g1_q1p645_hybrid
R211,8.0,1209.7839417643947,200,992.4832319445123,True,g1_q1p645_hybrid
RC101,,,200,230.22642938839647,False,g1_q1p645_hybrid
RC102,,,200,230.22642938839647,False,g1_q1p645_hybrid
RC103,16.0,2223.756984567957,200,230.22642938839647,True,g1_q1p645_hybrid
RC104,14.0,1890.2616046446285,200,230.22642938839647,True,g1_q1p645_hybrid
RC105,,,200,230.22642938839647,False,g1_q1p645_hybrid
RC106,18.0,2231.1800094137006,200,230.22642938839647,True,g1_q1p645_hybrid
RC107,16.0,1997.7835894082548,200,230.22642938839647,True,g1_q1p645_hybrid
RC108,14.0,1942.970356261537,200,230.22642938839647,True,g1_q1p645_hybrid
RC201,9.0,1992.3037680840603,200,950.2264293883965,True,g1_q1p645_hybrid
RC202,9.0,1778.753099113068,200,950.2264293883965,True,g1_q1p645_hybrid
RC203,9.0,1514.3924013673857,200,950.2264293883965,True,g1_q1p645_hybrid
RC204,9.0,1402.809143420047,200,950.2264293883965,True,g1_q1p645_hybrid
RC205,9.0,1768.9670666713882,200,950.2264293883965,True,g1_q1p645_hybrid
RC206,9.0,1727.9784548970915,200,950.2264293883965,True,g1_q1p645_hybrid
RC207,9.0,1547.5278168944446,200,950.2264293883965,True,g1_q1p645_hybrid
RC208,9.0,1444.0522429332307,200,950.2264293883965,True,g1_q1p645_hybrid
