feature,importance
family_C,0.07616804049698754
family_RC,0.03131245430341179
family_R,0.027220595684010106
method_SAA64-b0p7,0.027018289487739468
method_Q120,0.025369418243852575
method_family_Q,0.024633875391193362
method_family_SAA,0.023698542232539765
method_Q130,0.022199396600156338
method_SAA16-b0p3,0.022199021608212362
method_SAA32-b0p5,0.02019415154322513
method_Q110,0.01843915605854992
instance_R109,0.017014920560416112
instance_R110,0.01699761839594597
instance_R112,0.016213609287479086
instance_RC205,0.01570586511278448
method_Gamma2-q1p645,0.015536373798650565
instance_RC201,0.015031421100832889
method_Gamma1-q1p645,0.014666070909075467
instance_R202,0.014643392814958016
method_family_Gamma,0.01420707414218036
instance_RC108,0.014073342984086136
instance_R211,0.013937789595598358
instance_R203,0.013881173798194528
instance_C201,0.013831201438172496
instance_RC202,0.013629649211011832
instance_RC106,0.013394085805983457
instance_R106,0.01331285508081118
instance_R201,0.013287931785921572
instance_RC203,0.013019413288905072
instance_R205,0.012986949298275452
instance_RC206,0.012646307194757409
instance_R108,0.012619859828393754
instance_C207,0.012483307251889586
instance_RC207,0.012316811404080912
instance_RC103,0.01210930592486528
method_DET,0.011945917170010542
instance_R107,0.011788798183637293
instance_RC105,0.011643556506300721
instance_RC107,0.011606403340024163
instance_R105,0.011604916432316486
instance_RC208,0.01151888644864569
instance_RC102,0.011329423866910911
method_family_DET,0.01129184702148055
instance_R204,0.011135076234431163
instance_R102,0.0109154527663226
instance_C204,0.010642943347915601
instance_R208,0.010602506933842964
instance_R209,0.009817020826894274
instance_R207,0.009796933638404287
instance_R206,0.009751620863396693
instance_C203,0.009701124739722048
instance_RC104,0.009518792664383104
instance_RC101,0.009370043392582477
instance_C202,0.00920932826995022
instance_C105,0.009200020749053291
instance_R103,0.00918691989784901
instance_C109,0.009002827366943914
instance_RC204,0.008908365266157
instance_R101,0.008906483099181505
instance_R104,0.00887148236845621
instance_R111,0.008547837173545715
instance_C108,0.008271267077590228
instance_C104,0.008090781415329722
instance_R210,0.00789904342299926
instance_C206,0.007827945606002274
instance_C106,0.007322118764415542
instance_C208,0.0070654964850636335
instance_C103,0.006635559939779449
instance_C107,0.0065607761897117116
instance_C205,0.00646486859215337
instance_C102,0.006233696906779812
instance_C101,0.00581464536866837
cv_link_eval,0.0
time_limit_s,0.0
vehicle_cost,0.0
K_eval,0.0
seed_eval,0.0
cv_global_eval,0.0
n_customers,0.0
seed_build,0.0
sla_threshold,0.0
tag_TL30_MGLS_V10000,0.0
metaheuristic_GLS,0.0
sla_metric_ontime_p50,0.0
status_feasible,0.0
version_tag_static_v1,0.0
