instance,vehicles_ort,dist_ort,objective_cost,capacity,horizon,feasible_ort,tag,time_limit,meta,vehicle_cost,family_x,objective_ort,family_y,vehicles_base,dist_base,family,delta_dist,pct_improve,delta_veh
RC107,12,1225.0,1225.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1225.0,RC,14,1780.528,RC,-555.528,31.200183316409515,-2
RC108,11,1139.0,1139.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1139.0,RC,14,1694.264,RC,-555.2639999999999,32.773168762365245,-3
RC201,9,1348.0,1348.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1348.0,RC,9,1938.93,RC,-590.9300000000001,30.477118823268505,0
RC202,10,1196.0,1196.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1196.0,RC,10,1707.81,RC,-511.80999999999995,29.968790439217475,0
RC203,10,1093.0,1093.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1093.0,RC,9,1489.26,RC,-396.26,26.607845507164633,1
RC204,9,1042.0,1042.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1042.0,RC,9,1354.573,RC,-312.5730000000001,23.075389809187108,0
RC205,10,1240.0,1240.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1240.0,RC,9,1661.873,RC,-421.87300000000005,25.385393468694662,1
RC206,9,1174.0,1174.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1174.0,RC,9,1893.329,RC,-719.329,37.992815828627776,0
RC207,9,1212.0,1212.0,200,960,True,TL10_MGLS_V0,10,GLS,0,RC,1212.0,RC,9,1527.216,RC,-315.2159999999999,20.6399094823522,0
RC208,9,1047.0,1047.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1047.0,RC,9,1396.045,RC,-349.0450000000001,25.002417543847088,0
