method,mean_distance,mean_vehicles,ontime_avg,tard_avg
DET,1030.98,9.78,42.7116,258.3280168527352
Q120,1129.6666666666667,12.0,99.605,0.0375599431026493
SAA16-b0p3,1166.25,10.625,98.1804310966811,0.1514956828104647
G1,1472.8418132022796,10.51063829787234,99.95265420159038,0.0041467467820916
G2,1482.8288969561759,10.555555555555555,99.98466666666668,0.0012979716864241
