method,mean_ontime,mean_dist,n
SAA16-b0p3,99.72942059483726,1046.3333333333333,36
Q120,99.4075,1218.0,2
SAA64-b0p7,97.59958333333333,1538.9166666666667,12
SAA32-b0p5,97.91916666666667,1541.6666666666667,6
