instance,vehicles,total_distance,capacity,horizon,feasible
C101,10,957.0,200,1236.0,True
C102,10,954.0,200,1236.0,True
C103,10,982.0,200,1236.0,True
C104,10,984.0,200,1236.0,True
C105,10,957.0,200,1236.0,True
C106,10,955.0,200,1236.0,True
C107,10,951.0,200,1236.0,True
C108,10,950.0,200,1236.0,True
C109,10,973.0,200,1236.0,True
C201,10,1092.0,200,3390.0,True
C202,10,1094.0,200,3390.0,True
C203,10,1081.0,200,3390.0,True
C204,10,1063.0,200,3390.0,True
C205,10,1071.0,200,3390.0,True
C206,10,1085.0,200,3390.0,True
C207,10,1076.0,200,3390.0,True
C208,10,1088.0,200,3390.0,True
R101,20,1904.0,200,230.0,True
R102,19,1722.0,200,230.0,True
R103,14,1438.0,200,230.0,True
R104,11,1164.0,200,230.0,True
R105,16,1647.0,200,230.0,True
R106,14,1474.0,200,230.0,True
R107,12,1266.0,200,230.0,True
R108,10,1167.0,200,230.0,True
R109,13,1473.0,200,230.0,True
R110,12,1313.0,200,230.0,True
R111,11,1336.0,200,230.0,True
R112,11,1163.0,200,230.0,True
R201,8,1364.0,200,1000.0,True
R202,8,1293.0,200,1000.0,True
R203,8,1081.0,200,1000.0,True
R204,8,991.0,200,1000.0,True
R205,8,1180.0,200,1000.0,True
R206,8,1113.0,200,1000.0,True
R207,8,1036.0,200,1000.0,True
R208,8,974.0,200,1000.0,True
R209,8,1088.0,200,1000.0,True
R210,8,1159.0,200,1000.0,True
R211,8,998.0,200,1000.0,True
RC101,18,1988.0,200,240.0,True
RC102,15,1728.0,200,240.0,True
RC103,13,1530.0,200,240.0,True
RC104,11,1388.0,200,240.0,True
RC105,16,1810.0,200,240.0,True
RC106,14,1663.0,200,240.0,True
RC107,12,1460.0,200,240.0,True
RC108,12,1380.0,200,240.0,True
RC201,9,1727.0,200,960.0,True
RC202,9,1441.0,200,960.0,True
RC203,9,1311.0,200,960.0,True
RC204,9,1212.0,200,960.0,True
RC205,9,1495.0,200,960.0,True
RC206,9,1338.0,200,960.0,True
RC207,9,1378.0,200,960.0,True
RC208,9,1138.0,200,960.0,True
