method,n_instances,mean_distance,mean_vehicles,mean_ontime_p50,mean_ontime_p95
Gamma1,27,1548.9138518518519,11.148148148148149,49.71286943509166,52.886943509165725
Q120,2,1160.0,12.0,46.5,50.5
SAA16-b0p3,27,1211.7777777777778,11.296296296296296,41.907407407407405,44.114814814814814
