family,mean_distance,mean_vehicles,mean_ontime_p50,mean_ontime_p95,n_instances
C,1083.961117647059,10.235294117647058,42.749851455733804,43.22338086749852,17
R,1498.239358974359,11.692307692307692,47.17948717948718,50.90384615384615,39
