method_family,rows,feasible_rate,sla_rate,dist_mean,veh_mean,p50_mean
DET,48,100.0,100.0,1186.8833333333334,11.8125,97.82916666666667
Gamma,96,100.0,100.0,1198.9020833333334,12.104166666666666,98.13229166666667
Q,144,100.0,100.0,1194.9708333333333,12.0625,97.86319444444445
SAA,144,100.0,100.0,1234.8874999999998,12.01388888888889,98.30069444444445
