method,method_family,champions,avg_distance,avg_vehicles,avg_p50
DET,DET,17,1217.0882352941176,12.058823529411764,97.64117647058822
Q120,Q,13,1197.3538461538462,11.615384615384615,98.06153846153846
Q110,Q,9,1309.8000000000002,12.777777777777779,97.54444444444444
Gamma2-q1p645,Gamma,2,868.2,10.0,99.15
SAA16-b0p3,SAA,2,877.5,10.0,99.30000000000001
SAA32-b0p5,SAA,2,905.3499999999999,10.0,99.19999999999999
Q130,Q,2,1321.3,13.0,97.95
Gamma1-q1p645,Gamma,1,881.5,11.0,99.3
