method,method_family,rows,feasible_rate,sla_rate,dist_mean,veh_mean,p50_mean
DET,DET,48,100.0,100.0,1186.8833333333334,11.8125,97.82916666666667
Q110,Q,48,100.0,100.0,1195.0062500000001,11.9375,97.80416666666667
Q120,Q,48,100.0,100.0,1186.1791666666666,12.145833333333334,97.88333333333333
Q130,Q,48,100.0,100.0,1203.7270833333334,12.104166666666666,97.90208333333334
SAA16-b0p3,SAA,48,100.0,100.0,1216.2895833333334,12.0,98.26666666666667
SAA32-b0p5,SAA,48,100.0,100.0,1235.3354166666666,11.958333333333334,98.15416666666665
SAA64-b0p7,SAA,48,100.0,100.0,1253.0375000000001,12.083333333333334,98.48125
Gamma1-q1p645,Gamma,48,100.0,100.0,1194.8374999999999,12.125,97.98958333333333
Gamma2-q1p645,Gamma,48,100.0,100.0,1202.9666666666667,12.083333333333334,98.27499999999999
